"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Hotelling's Law.nlogox"
"Baseline"
"05/15/2026 17:14:53:642 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","layout","number-of-stores","rules","[step]","ticks","store-positions","store-market-shares","store-prices"
"49","plane","2","pricing-only","10","10","[[0 20 2] [1 18 -1]]","[[0 580] [1 1101]]","[[0 3] [1 4]]"
"51","plane","2","pricing-only","10","10","[[1 -16 15] [0 8 -9]]","[[1 584] [0 1097]]","[[1 20] [0 20]]"
"50","plane","2","pricing-only","10","10","[[0 17 -9] [1 2 14]]","[[0 727] [1 954]]","[[0 19] [1 20]]"
"54","plane","2","pricing-only","10","10","[[0 -7 -20] [1 -12 3]]","[[0 642] [1 1039]]","[[0 18] [1 20]]"
"53","plane","2","pricing-only","10","10","[[0 16 15] [1 -19 18]]","[[0 961] [1 720]]","[[0 20] [1 20]]"
"55","plane","2","pricing-only","10","10","[[0 9 -6] [1 19 12]]","[[0 1015] [1 666]]","[[0 20] [1 14]]"
"57","plane","2","pricing-only","10","10","[[1 4 13] [0 20 -17]]","[[1 1086] [0 595]]","[[1 20] [0 17]]"
"52","plane","2","pricing-only","10","10","[[0 16 -4] [1 3 3]]","[[0 683] [1 998]]","[[0 12] [1 17]]"
"59","plane","2","pricing-only","10","10","[[1 19 -10] [0 0 10]]","[[1 651] [0 1030]]","[[1 16] [0 20]]"
"56","plane","2","pricing-only","10","10","[[1 10 -6] [0 8 13]]","[[1 907] [0 774]]","[[1 20] [0 19]]"
"58","plane","2","pricing-only","10","10","[[0 -16 9] [1 4 2]]","[[0 581] [1 1100]]","[[0 18] [1 20]]"
"60","plane","2","pricing-only","10","10","[[0 -16 6] [1 6 -1]]","[[0 636] [1 1045]]","[[0 19] [1 20]]"
"61","plane","3","normal","10","10","[[1 3 3] [2 -3 10] [0 -6 -3]]","[[1 591] [2 541] [0 549]]","[[1 12] [2 10] [0 13]]"
"65","plane","3","normal","10","10","[[2 1 11] [0 -6 2] [1 9 -14]]","[[2 578] [0 682] [1 421]]","[[2 15] [0 15] [1 18]]"
"62","plane","3","normal","10","10","[[1 7 0] [2 -10 1] [0 -3 1]]","[[1 553] [2 439] [0 689]]","[[1 9] [2 7] [0 5]]"
"63","plane","3","normal","10","10","[[2 7 0] [0 8 -13] [1 5 -7]]","[[2 758] [0 306] [1 617]]","[[2 8] [0 6] [1 6]]"
"64","plane","3","normal","10","10","[[0 8 5] [1 -3 -2] [2 2 -10]]","[[0 498] [1 674] [2 509]]","[[0 14] [1 12] [2 12]]"
"66","plane","3","normal","10","10","[[1 5 1] [0 -11 12] [2 -1 -11]]","[[1 694] [0 409] [2 578]]","[[1 16] [0 18] [2 17]]"
"67","plane","3","normal","10","10","[[0 1 -3] [1 2 -11] [2 -3 12]]","[[0 727] [1 425] [2 529]]","[[0 7] [1 9] [2 10]]"
"69","plane","3","normal","10","10","[[2 -10 1] [0 5 -4] [1 -1 -6]]","[[2 425] [0 562] [1 694]]","[[2 9] [0 7] [1 4]]"
"71","plane","3","normal","10","10","[[0 9 9] [1 -9 5] [2 8 1]]","[[0 433] [1 621] [2 627]]","[[0 13] [1 18] [2 15]]"
"70","plane","3","normal","10","10","[[1 -11 12] [0 -1 -7] [2 11 2]]","[[1 445] [0 625] [2 611]]","[[1 17] [0 17] [2 16]]"
"68","plane","3","normal","10","10","[[0 -9 -6] [2 -1 0] [1 -10 3]]","[[0 536] [2 746] [1 399]]","[[0 9] [2 12] [1 11]]"
"72","plane","3","normal","10","10","[[2 13 4] [0 -9 -2] [1 -3 0]]","[[2 462] [0 503] [1 716]]","[[2 11] [0 8] [1 7]]"
"73","plane","3","normal","10","10","[[1 -8 3] [2 -8 3] [0 8 1]]","[[1 0] [2 1188] [0 493]]","[[1 3] [2 2] [0 11]]"
"74","plane","3","normal","10","10","[[0 0 -3] [1 1 -10] [2 -1 10]]","[[0 719] [1 433] [2 529]]","[[0 7] [1 9] [2 11]]"
"75","plane","3","normal","10","10","[[2 10 4] [0 -5 4] [1 5 11]]","[[2 519] [0 737] [1 425]]","[[2 11] [0 12] [1 8]]"
"77","plane","3","normal","10","10","[[2 9 8] [1 5 2] [0 -5 1]]","[[2 384] [1 726] [0 571]]","[[2 7] [1 6] [0 11]]"
"78","plane","3","normal","10","10","[[0 -8 16] [2 -9 -9] [1 5 -4]]","[[0 522] [2 497] [1 662]]","[[0 18] [2 18] [1 20]]"
"79","plane","3","normal","10","10","[[1 -8 -3] [2 1 0] [0 8 7]]","[[1 622] [2 664] [0 395]]","[[1 9] [2 8] [0 11]]"
"76","plane","3","normal","10","10","[[2 14 -12] [1 0 3] [0 -12 -5]]","[[2 398] [1 762] [0 521]]","[[2 16] [1 16] [0 16]]"
"80","plane","3","normal","10","10","[[2 -9 -8] [1 8 9] [0 -11 -10]]","[[2 474] [1 396] [0 811]]","[[2 3] [1 16] [0 1]]"
"83","plane","3","moving-only","10","10","[[0 -10 -1] [2 12 -6] [1 -5 3]]","[[0 493] [2 642] [1 546]]","[[0 10] [2 10] [1 10]]"
"82","plane","3","moving-only","10","10","[[2 6 9] [0 -8 -10] [1 6 9]]","[[2 435] [0 790] [1 456]]","[[2 10] [0 10] [1 10]]"
"81","plane","3","moving-only","10","10","[[1 8 -1] [2 2 -8] [0 -1 2]]","[[1 462] [2 525] [0 694]]","[[1 10] [2 10] [0 10]]"
"84","plane","3","moving-only","10","10","[[2 -7 9] [1 -12 13] [0 -5 -6]]","[[2 533] [1 214] [0 934]]","[[2 10] [1 10] [0 10]]"
"85","plane","3","moving-only","10","10","[[0 -6 5] [1 3 -5] [2 -3 9]]","[[0 394] [1 810] [2 477]]","[[0 10] [1 10] [2 10]]"
"89","plane","3","moving-only","10","10","[[1 -2 2] [0 -5 -4] [2 15 -6]]","[[1 649] [0 539] [2 493]]","[[1 10] [0 10] [2 10]]"
"87","plane","3","moving-only","10","10","[[0 7 -8] [2 -7 0] [1 -8 2]]","[[0 741] [2 364] [1 576]]","[[0 10] [2 10] [1 10]]"
"90","plane","3","moving-only","10","10","[[1 -11 11] [0 -1 9] [2 -2 -1]]","[[1 308] [0 451] [2 922]]","[[1 10] [0 10] [2 10]]"
